N_PROF,N_LEVELS,JULD,LATITUDE,LONGITUDE,PRES,TEMP,PSAL,PRES_ADJUSTED,TEMP_ADJUSTED,PSAL_ADJUSTED
0,395,25812.160428245323,2.098,164.882,794.0,5.466,34.532,794.09,5.466,34.53196
0,396,25812.160428245323,2.098,164.882,796.0,5.435,34.533,796.09,5.435,34.53296
0,397,25812.160428245323,2.098,164.882,798.0,5.426,34.533,798.09,5.426,34.53296
0,398,25812.160428245323,2.098,164.882,800.0,5.399,34.534,800.09,5.399,34.533962
0,399,25812.160428245323,2.098,164.882,802.0,5.389,34.534,802.09,5.389,34.53396
0,400,25812.160428245323,2.098,164.882,804.0,5.378,34.534,804.09,5.378,34.533955
0,401,25812.160428245323,2.098,164.882,806.0,5.362,34.534,806.09,5.362,34.533955
0,402,25812.160428245323,2.098,164.882,808.0,5.349,34.533,808.09,5.349,34.532955
0,403,25812.160428245323,2.098,164.882,810.0,5.306,34.534,810.09,5.306,34.533955
0,404,25812.160428245323,2.098,164.882,812.0,5.276,34.533,812.09,5.276,34.532963
0,405,25812.160428245323,2.098,164.882,814.0,5.263,34.532,814.09,5.263,34.531956
0,406,25812.160428245323,2.098,164.882,816.0,5.258,34.532,816.09,5.258,34.53196
0,407,25812.160428245323,2.098,164.882,818.0,5.253,34.535,818.09,5.253,34.53495
0,408,25812.160428245323,2.098,164.882,820.0,5.247,34.536,820.09,5.247,34.535957
0,409,25812.160428245323,2.098,164.882,822.0,5.235,34.536,822.09,5.235,34.535954
0,410,25812.160428245323,2.098,164.882,824.0,5.219,34.537,824.09,5.219,34.536953
0,411,25812.160428245323,2.098,164.882,826.0,5.214,34.537,826.09,5.214,34.536957
0,412,25812.160428245323,2.098,164.882,828.0,5.198,34.537,828.09,5.198,34.536957
0,413,25812.160428245323,2.098,164.882,830.0,5.189,34.537,830.09,5.189,34.536964
0,414,25812.160428245323,2.098,164.882,832.0,5.182,34.538,832.09,5.182,34.53795
0,415,25812.160428245323,2.098,164.882,834.0,5.173,34.538,834.09,5.173,34.537945
0,416,25812.160428245323,2.098,164.882,836.0,5.168,34.538,836.09,5.168,34.537952
0,417,25812.160428245323,2.098,164.882,838.0,5.163,34.538,838.09,5.163,34.537952
0,418,25812.160428245323,2.098,164.882,840.0,5.153,34.538,840.09,5.153,34.53796
0,419,25812.160428245323,2.098,164.882,842.0,5.149,34.538,842.09,5.149,34.537956
0,420,25812.160428245323,2.098,164.882,844.0,5.143,34.538,844.09,5.143,34.537956
0,421,25812.160428245323,2.098,164.882,846.0,5.131,34.538,846.09,5.131,34.53795
0,422,25812.160428245323,2.098,164.882,848.0,5.12,34.538,848.09,5.12,34.537956
0,423,25812.160428245323,2.098,164.882,850.0,5.101,34.539,850.09,5.101,34.538948
0,424,25812.160428245323,2.098,164.882,852.0,5.089,34.539,852.09,5.089,34.538963
0,425,25812.160428245323,2.098,164.882,854.0,5.081,34.539,854.09,5.081,34.53896
0,426,25812.160428245323,2.098,164.882,856.0,5.077,34.538,856.09,5.077,34.537952
0,427,25812.160428245323,2.098,164.882,858.0,5.071,34.538,858.09,5.071,34.537964
